address_id,status,type_,entrancetype,quadrant,fulladdress,objectid_1,assessment_nbhd,cfsa_name,census_tract,vote_prcnct,ward,zipcode,anc,census_block,census_blockgroup,latitude,longitude,active_res_unit_count,res_type,active_res_occupancy_count,unit_id,unitnum,unittype
108,ACTIVE,ADDRESS,OFFICIAL,NE,703 6TH STREET NE,2000,Old City 1,South Washington/West of the River Collaborative,008302,Precinct 83,Ward 6,20002,ANC 6C,008302 1001,008302 1,38.89910488,-76.9982407,0,RESIDENTIAL,1,NA,NA,NA
307070,ACTIVE,ADDRESS,OFFICIAL,NE,150 Q STREET NE,NA,Eckington,Edgewood/Brookland Family Support Collaborative,008702,Precinct 75,Ward 5,20002,ANC 5E,008702 2002,008702 2,38.91128367,-77.00385276,132,RESIDENTIAL,132,227767,1519,RENTAL
289791,ACTIVE,ADDRESS,OFFICIAL,NE,5224 CLOUD PLACE NE,1921,Deanwood,East of the River Collaborative,007808,Precinct 96,Ward 7,20019,ANC 7C,007808 1004,007808 1,38.89450376,-76.925821440000007,0,RESIDENTIAL,1,NA,NA,NA
59529,ACTIVE,ADDRESS,OFFICIAL,NE,1621 CRITTENDEN STREET NE,848,Michigan Park,Edgewood/Brookland Family Support Collaborative,009503,Precinct 67,Ward 5,20017,ANC 5B,009503 1013,009503 1,38.94684017,-76.98226076,0,RESIDENTIAL,1,NA,NA,NA
62172,ACTIVE,ADDRESS,OFFICIAL,NE,1511 IRVING STREET NE,1458,Brookland,Edgewood/Brookland Family Support Collaborative,009301,Precinct 70,Ward 5,20017,ANC 5B,009301 3008,009301 3,38.9287728,-76.98310969,0,RESIDENTIAL,1,NA,NA,NA
15461,ACTIVE,ADDRESS,OFFICIAL,NE,5000 8TH STREET NE,1401,Brookland,Edgewood/Brookland Family Support Collaborative,009509,Precinct 66,Ward 5,20017,ANC 5A,009509 3003,009509 3,38.9502524,-76.99526769,0,RESIDENTIAL,1,NA,NA,NA
25503,ACTIVE,ADDRESS,OFFICIAL,NE,4209 BENNING ROAD NE,1892,Deanwood,East of the River Collaborative,009603,Precinct 102,Ward 7,20019,ANC 7F,009603 1008,009603 1,38.89248922,-76.94211312,0,RESIDENTIAL,1,NA,NA,NA
75282,ACTIVE,ADDRESS,OFFICIAL,NE,1026 D STREET NE,936,Old City 1,South Washington/West of the River Collaborative,008100,Precinct 85,Ward 6,20002,ANC 6A,008100 1004,008100 1,38.89493599,-76.99188208,0,RESIDENTIAL,1,NA,NA,NA
46093,ACTIVE,ADDRESS,OFFICIAL,NE,26 55TH STREET NE,1916,Deanwood,East of the River Collaborative,007808,Precinct 96,Ward 7,20019,ANC 7C,007808 1015,007808 1,38.89063895,-76.92314735,0,RESIDENTIAL,1,NA,NA,NA
65704,ACTIVE,ADDRESS,OFFICIAL,NE,1367 ADAMS STREET NE,1637,Brentwood,Edgewood/Brookland Family Support Collaborative,009102,Precinct 72,Ward 5,20018,ANC 5C,009102 2007,009102 2,38.91982831,-76.98405484,0,RESIDENTIAL,1,NA,NA,NA
