OBJECTID,ZONING_WEB_URL,ZONING_CHANGE_NARRATIVE,ZONING_STATUS,ZONING_LABEL,ZONE_DESCRIPTION,OLD_ZONING,ZONE_DISTRICT,GLOBALID,ZONING,SHAPEAREA,SHAPELEN
151802,http://handbook.dcoz.dc.gov/zones/production-distribution-and-repair/pdr-1/,"Official Digital Zoning Map of July 1, 2010",Final,PDR-1,"Permits moderate density commercial and production, distribution, and repair activities requiring some heavy machinery",C-M-1,"Production, Distribution, and Repair Zone",,,0,0
151803,http://handbook.dcoz.dc.gov/zones/mixed-use/MU-4/,"Official Digital Zoning Map of July 1, 2010.  Map correction Zoning Commission Order No. 753, Case No. 93-10Z, 2/14/94.",Final,MU-4,Permits moderate density mixed use development,C-2-A,Mixed-Use Zone,,,0,0
151804,http://handbook.dcoz.dc.gov/zones/mixed-use/MU-4/,"Official Digital Zoning Map of July 1, 2010",Final,MU-4,Permits moderate density mixed use development,C-2-A,Mixed-Use Zone,,,0,0
151810,http://handbook.dcoz.dc.gov/zones/mixed-use/MU-4/,"Official Digital Zoning Map of July 1, 2010",Final,MU-4,Permits moderate density mixed use development,C-2-A,Mixed-Use Zone,,,0,0
151811,http://handbook.dcoz.dc.gov/zones/production-distribution-and-repair/pdr-1/,"Official Digital Zoning Map of July 1, 2010",Final,PDR-1,"Permits moderate density commercial and production, distribution, and repair activities requiring some heavy machinery",C-M-1,"Production, Distribution, and Repair Zone",,,0,0
151812,http://handbook.dcoz.dc.gov/zones/residential-apartment/RA-4/,"Misc map corrections in Square 5179 on March 29, 2012",Final,RA-4,Permits medium to high-desnity apartments,R-5-D,Residential Apartment Zone,,,0,0
151813,http://handbook.dcoz.dc.gov/zones/mixed-use/MU-3/,"Official Digital Zoning Map of July 1, 2010",Final,MU-3A,Permits low density mixed use development ,C-1,Mixed-Use Zone,,,0,0
151814,http://handbook.dcoz.dc.gov/zones/mixed-use/MU-6/,"Official Digital Zoning Map of July 1, 2010",Final,MU-6,Permits medium to high density mixed-use development with a focus on residential use,C-2-C,Mixed-Use Zone,,,0,0
151815,http://handbook.dcoz.dc.gov/zones/mixed-use/MU-4/,"Miscellaneous map correction in Square 2884 on March 22, 2012",Final,MU-4,Permits moderate density mixed use development,C-2-A,Mixed-Use Zone,,,0,0
151816,http://handbook.dcoz.dc.gov/zones/residential-apartment/RA-4/,"Official Digital Zoning Map of July 1, 2010",Final,RA-4,Permits medium to high-desnity apartments,R-5-D,Residential Apartment Zone,,,0,0
151817,http://handbook.dcoz.dc.gov/zones/residential/R-1-B/,"Official Digital Zoning Map of July 1, 2010",Final,R-1-B,Provides areas predominantly developed with detached houses on moderately sized lots.,R-1-B,Residential Zone,,,0,0
151818,http://handbook.dcoz.dc.gov/zones/production-distribution-and-repair/pdr-2/,"Official Digital Zoning Map of July 1, 2010",Final,PDR-2,"Permits medium density commercial and production, distribution, and repair activities requiring some heavy machinery",C-M-2,"Production, Distribution, and Repair Zone",,,0,0
151819,http://handbook.dcoz.dc.gov/zones/mixed-use/MU-4/,"Official Digital Zoning Map of July 1, 2010",Final,MU-4,Permits moderate density mixed use development,C-2-A,Mixed-Use Zone,,,0,0
151820,http://handbook.dcoz.dc.gov/zones/mixed-use/MU-3/,"Misc map corrections in Square 3876 on March 26, 2012",Final,MU-3A,Permits low density mixed use development ,C-1,Mixed-Use Zone,,,0,0
151821,http://handbook.dcoz.dc.gov/zones/mixed-use/MU-3/,"Official Digital Zoning Map of July 1, 2010",Final,MU-3A,Permits low density mixed use development ,C-1,Mixed-Use Zone,,,0,0
151822,http://handbook.dcoz.dc.gov/zones/mixed-use/MU-3/,"Official Digital Zoning Map of July 1, 2010",Final,MU-3A,Permits low density mixed use development ,C-1,Mixed-Use Zone,,,0,0
151823,http://handbook.dcoz.dc.gov/zones/mixed-use/MU-3/,"Official Digital Zoning Map of July 1, 2010",Final,MU-3A,Permits low density mixed use development ,C-1,Mixed-Use Zone,,,0,0
151824,http://handbook.dcoz.dc.gov/zones/mixed-use/MU-3/,"Zoning boundary fixed to match official zoning records on March 27, 2012",Final,MU-3A,Permits low density mixed use development ,C-1,Mixed-Use Zone,,,0,0
151825,http://handbook.dcoz.dc.gov/zones/mixed-use/MU-13/,"Official Digital Zoning Map of July 1, 2010",Final,MU-13,Permits medium density mixed-use development in the vicinity of the waterfront,W-2,Mixed-Use Zone,,,0,0
151826,http://handbook.dcoz.dc.gov/zones/residential-apartment/RA-5/,"Official Digital Zoning Map of July 1, 2010",Final,RA-5,permits high-density apartments,R-5-E,Residential Apartment Zone,,,0,0
151827,http://handbook.dcoz.dc.gov/zones/production-distribution-and-repair/pdr-1/,"Official Digital Zoning Map of July 1, 2010",Final,PDR-1,"Permits moderate density commercial and production, distribution, and repair activities requiring some heavy machinery",C-M-1,"Production, Distribution, and Repair Zone",,,0,0
151828,http://handbook.dcoz.dc.gov/zones/mixed-use/MU-6/,"Misc map corrections in Square 3844 on March 26, 2012, expanded over Reed Street by 10-30",Final,MU-6,Permits medium to high density mixed-use development with a focus on residential use,C-2-C,Mixed-Use Zone,,,0,0
151829,http://handbook.dcoz.dc.gov/zones/residential-apartment/RA-4/,"Official Digital Zoning Map of July 1, 2010",Final,RA-4,Permits medium to high-desnity apartments,R-5-D,Residential Apartment Zone,,,0,0
151830,http://handbook.dcoz.dc.gov/zones/mixed-use/MU-13/,"Zoning Correction made on March 12, 2012 in Square 1183, 1184, 1185 to match DCGIS Baist Map",Final,MU-13,Permits medium density mixed-use development in the vicinity of the waterfront,W-2,Mixed-Use Zone,,,0,0
151831,http://handbook.dcoz.dc.gov/zones/mixed-use/MU-3/,"Official Digital Zoning Map of July 1, 2010",Final,MU-3A,Permits low density mixed use development ,C-1,Mixed-Use Zone,,,0,0
151832,http://handbook.dcoz.dc.gov/zones/residential-apartment/RA-5/,"Official Digital Zoning Map of July 1, 2010",Final,RA-5,permits high-density apartments,R-5-E,Residential Apartment Zone,,,0,0
151833,http://handbook.dcoz.dc.gov/zones/mixed-use/MU-4/,"Official Digital Zoning Map of July 1, 2010",Final,MU-4,Permits moderate density mixed use development,C-2-A,Mixed-Use Zone,,,0,0
151834,http://handbook.dcoz.dc.gov/zones/mixed-use/MU-3/,"Official Digital Zoning Map of July 1, 2010",Final,MU-3A,Permits low density mixed use development ,C-1,Mixed-Use Zone,,,0,0
151835,http://handbook.dcoz.dc.gov/zones/mixed-use/MU-4/,"Official Digital Zoning Map of July 1, 2010",Final,MU-4,Permits moderate density mixed use development,C-2-A,Mixed-Use Zone,,,0,0
151837,http://handbook.dcoz.dc.gov/zones/mixed-use/MU-4/,"Official Digital Zoning Map of July 1, 2010",Final,MU-4,Permits moderate density mixed use development,C-2-A,Mixed-Use Zone,,,0,0
151838,http://handbook.dcoz.dc.gov/zones/mixed-use/MU-3/,"Official Digital Zoning Map of July 1, 2010",Final,MU-3A,Permits low density mixed use development ,C-1,Mixed-Use Zone,,,0,0
151836,http://handbook.dcoz.dc.gov/zones/mixed-use/MU-3/,"Official Digital Zoning Map of July 1, 2010",Final,MU-3A,Permits low density mixed use development ,C-1,Mixed-Use Zone,,,0,0
151805,http://handbook.dcoz.dc.gov/zones/residential-apartment/RA-4/,"Official Digital Zoning Map of July 1, 2010",Final,RA-4,Permits medium to high-desnity apartments,R-5-D,Residential Apartment Zone,,,0,0
151806,http://handbook.dcoz.dc.gov/zones/mixed-use/MU-4/,"Official Digital Zoning Map of July 1, 2010",Final,MU-4,Permits moderate density mixed use development,C-2-A,Mixed-Use Zone,,,0,0
151807,http://handbook.dcoz.dc.gov/zones/mixed-use/MU-5A/,"Official Digital Zoning Map of July 1, 2010",Final,MU-5A,"Permits medium density, compact mixed-use development with an emphasis on residential use",C-2-B,Mixed-Use Zone,,,0,0
151808,http://handbook.dcoz.dc.gov/zones/mixed-use/MU-6/,"Official Digital Zoning Map of July 1, 2010",Final,MU-6,Permits medium to high density mixed-use development with a focus on residential use,C-2-C,Mixed-Use Zone,,,0,0
151809,http://handbook.dcoz.dc.gov/zones/production-distribution-and-repair/pdr-1/,"Zoning boundary corrections in Square 4335, 4337 on March 27, 2012 to match official zoning records",Final,PDR-1,"Permits moderate density commercial and production, distribution, and repair activities requiring some heavy machinery",C-M-1,"Production, Distribution, and Repair Zone",,,0,0
151794,http://handbook.dcoz.dc.gov/zones/mixed-use/MU-4/,"Fixed Mapping Error on March 12, 2012 by removing nodes in Square 1057",Final,MU-4,Permits moderate density mixed use development,C-2-A,Mixed-Use Zone,,,0,0
151795,http://handbook.dcoz.dc.gov/zones/mixed-use/MU-3/,"Official Digital Zoning Map of July 1, 2010",Final,MU-3A,Permits low density mixed use development ,C-1,Mixed-Use Zone,,,0,0
151792,http://handbook.dcoz.dc.gov/zones/mixed-use/MU-10/,"Official Digital Zoning Map of July 1, 2010",Final,MU-10,Permits medium to high density mixed-use development with a balance of uses ,CR,Mixed-Use Zone,,,0,0
151793,http://handbook.dcoz.dc.gov/zones/residential-apartment/RA-5/,"Official Digital Zoning Map of July 1, 2010",Final,RA-5,permits high-density apartments,R-5-E,Residential Apartment Zone,,,0,0
151796,http://handbook.dcoz.dc.gov/zones/mixed-use/MU-5A/,"Official Digital Zoning Map of July 1, 2010",Final,MU-5A,"Permits medium density, compact mixed-use development with an emphasis on residential use",C-2-B,Mixed-Use Zone,,,0,0
151797,http://handbook.dcoz.dc.gov/zones/production-distribution-and-repair/pdr-2/,Cut off from C-M-2 segment to southwest by ZC 13-02 on 7/16/13,Final,PDR-2,"Permits medium density commercial and production, distribution, and repair activities requiring some heavy machinery",C-M-2,"Production, Distribution, and Repair Zone",,,0,0
151798,http://handbook.dcoz.dc.gov/zones/mixed-use/MU-4/,"Official Digital Zoning Map of July 1, 2010",Final,MU-4,Permits moderate density mixed use development,C-2-A,Mixed-Use Zone,,,0,0
151799,http://handbook.dcoz.dc.gov/zones/mixed-use/MU-5A/,"Official Digital Zoning Map of July 1, 2010",Final,MU-5A,"Permits medium density, compact mixed-use development with an emphasis on residential use",C-2-B,Mixed-Use Zone,,,0,0
151800,http://handbook.dcoz.dc.gov/zones/residential-apartment/RA-4/,"Official Digital Zoning Map of July 1, 2010",Final,RA-4,Permits medium to high-desnity apartments,R-5-D,Residential Apartment Zone,,,0,0
151801,http://handbook.dcoz.dc.gov/zones/mixed-use/MU-3/,"Official Digital Zoning Map of July 1, 2010",Final,MU-3A,Permits low density mixed use development ,C-1,Mixed-Use Zone,,,0,0
151953,http://handbook.dcoz.dc.gov/zones/residential-apartment/RA-4/,"Official Digital Zoning Map of July 1, 2010",Final,RA-4,Permits medium to high-desnity apartments,R-5-D,Residential Apartment Zone,,,0,0
